	kieu_dang	hop_so	km_da_di	nhien_lieu	so_cho_ngoi	tinh_trang	xuat_xu	nam_sx	gia	dong_xe	hang
32151	Bán tải / Pickup	Số sàn	95000	Dầu	5	Đã sử dụng	Nhập khẩu	2013	470000000.0	Hilux	Toyota
17493	Sedan	Tự động	0	Xăng	6	Mới	Nhập khẩu	2021	28000000000.0	Maybach	Mercedes Benz
5615	Hatchback	Tự động	140000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	296000000.0	I10	Hyundai
16362	Sedan	Số sàn	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2009	305000000.0	Corolla	Toyota
40909	Sedan	Số sàn	99999	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	265000000.0	Cerato	Kia
25307	Sedan	Tự động	0	Xăng	5	Mới	Nhập khẩu	2021	715000000.0	Civic	Honda
19742	SUV / Cross over	Số sàn	57000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2018	544000000.0	Innova	Toyota
30598	Sedan	Số sàn	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	385000000.0	Vios	Toyota
3116	Sedan	Số sàn	300000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2007	105000000.0	Gentra	Daewoo
24506	Sedan	Tự động	15000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	548000000.0	Vios	Toyota
37477	SUV / Cross over	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	1645000000.0	GLCclass	Mercedes Benz
13499	Hatchback	Tự động	110000	Xăng	5	Đã sử dụng	Nhập khẩu	2007	166000000.0	Morning	Kia
32491	Sedan	Tự động	36000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	1300000000.0	Cclass	Mercedes Benz
18050	Sedan	Tự động	31000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	515000000.0	Vios	Toyota
32646	Van/Minivan	Số sàn	80000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2018	455000000.0	Transit	Ford
37903	SUV / Cross over	Tự động	100000	Xăng	7	Đã sử dụng	Nhập khẩu	2008	165000000.0	Vivant	Chevrolet
14250	SUV / Cross over	Tự động	83866	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	456000000.0	Escape	Ford
18500	Sedan	Số sàn	160000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	195000000.0	Aveo	Chevrolet
10583	Hatchback	Số sàn	240000	Xăng	5	Đã sử dụng	Nhập khẩu	2010	138000000.0	Getz	Hyundai
41119	Hatchback	Số sàn	128000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2004	168000000.0	Grandvitara	Suzuki
38647	Sedan	Tự động	80000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	670000000.0	5Series	BMW
15997	SUV / Cross over	Tự động	0	Xăng	4	Mới	Nhập khẩu	2021	12700000000.0	RangeRover	LandRover
23150	Sedan	Tự động	45000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	535000000.0	3	Mazda
5707	Hatchback	Tự động	110000	Xăng	5	Đã sử dụng	Nhập khẩu	2005	145000000.0	Matiz	Daewoo
31527	Sedan	Số sàn	1100	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	135000000.0	Gentra	Daewoo
39602	Sedan	Tự động	25000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	665000000.0	3	Mazda
27152	Bán tải / Pickup	Tự động	6500	Dầu	5	Đã sử dụng	Nhập khẩu	2019	630000000.0	Colorado	Chevrolet
36034	Sedan	Tự động	31000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	749000000.0	6	Mazda
165	Sedan	Tự động	28000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	1090000000.0	Cclass	Mercedes Benz
35382	Bán tải / Pickup	Số sàn	65000	Dầu	5	Đã sử dụng	Lắp ráp trong nước	2018	490000000.0	Colorado	Chevrolet
19243	SUV / Cross over	Tự động	30000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2019	1120000000.0	LUX	VinFast
23550	Sedan	Tự động	120000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	430000000.0	Sonata	Hyundai
27317	Hatchback	Tự động	80000	Xăng	4	Đã sử dụng	Nhập khẩu	2008	290000000.0	Yaris	Toyota
20538	Hatchback	Tự động	45000	Xăng	5	Đã sử dụng	Nhập khẩu	2017	878000000.0	Aclass	Mercedes Benz
32297	Sedan	Số sàn	10000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	325000000.0	City	Honda
25701	Bán tải / Pickup	Tự động	140000	Dầu	5	Đã sử dụng	Nhập khẩu	2015	525000000.0	Ranger	Ford
7531	Truck	Số sàn	440000	Dầu	3	Đã sử dụng	Nhập khẩu	2000	72000000.0	Porter	Hyundai
12855	Sedan	Tự động	10100	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	769000000.0	6	Mazda
10369	Sedan	Tự động	160000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	242000000.0	Aveo	Chevrolet
14008	SUV / Cross over	Tự động	61000	Xăng	7	Đã sử dụng	Nhập khẩu	2016	3685000000.0	GX	Lexus
17084	Hatchback	Số sàn	280000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2008	70000000.0	Matiz	Daewoo
30952	SUV / Cross over	Tự động	16000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	2290000000.0	NX	Lexus
4364	Sedan	Tự động	150000	Xăng	5	Đã sử dụng	Nhập khẩu	2010	315000000.0	Cerato	Kia
32554	SUV / Cross over	Tự động	28000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	650000000.0	Kona	Hyundai
34257	Van/Minivan	Số sàn	110000	Xăng	7	Đã sử dụng	Nhập khẩu	2008	215000000.0	APV	Suzuki
14627	Sedan	Tự động	76000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	492000000.0	City	Honda
955	Bán tải / Pickup	Tự động	0	Dầu	5	Mới	Nhập khẩu	2021	743000000.0	BT50	Mazda
21927	SUV / Cross over	Tự động	16668	Dầu	7	Đã sử dụng	Lắp ráp trong nước	2020	1160000000.0	SantaFe	Hyundai
19411	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	1050000000.0	Cclass	Mercedes Benz
9508	SUV / Cross over	Tự động	60000	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2019	926000000.0	Fortuner	Toyota
25160	SUV / Cross over	Số sàn	70000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2019	610000000.0	Innova	Toyota
20642	SUV / Cross over	Tự động	0	Xăng	7	Mới	Lắp ráp trong nước	2021	1179000000.0	Sorento	Kia
18719	Truck	Số sàn	0	Dầu	3	Mới	Nhập khẩu	2021	709000000.0	NPR	Isuzu
17707	Sedan	Số sàn	120000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	290000000.0	Vios	Toyota
34857	SUV / Cross over	Tự động	93650	Xăng	5	Đã sử dụng	Nhập khẩu	2009	539000000.0	Venza	Toyota
1468	Hatchback	Số sàn	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	303000000.0	I10	Hyundai
38726	Sedan	Tự động	142108	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2009	468000000.0	A4	Audi
40445	Sedan	Số sàn	186000	Xăng	5	Đã sử dụng	Nhập khẩu	1997	108666666.0	Corolla	Toyota
7072	Van/Minivan	Số sàn	360000	Dầu	6	Đã sử dụng	Nhập khẩu	2004	155000000.0	Starex	Hyundai
7651	Sedan	Tự động	28000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	455000000.0	Accent	Hyundai
23724	SUV / Cross over	Tự động	41000	Xăng	5	Đã sử dụng	Nhập khẩu	2013	1590000000.0	RX	Lexus
22701	SUV / Cross over	Số sàn	15800	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2011	218000000.0	Innova	Toyota
15088	Sedan	Tự động	32000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	370000000.0	I10	Hyundai
26699	SUV / Cross over	Tự động	10200	Dầu	7	Đã sử dụng	Lắp ráp trong nước	2019	969000000.0	Fortuner	Toyota
27416	Sedan	Số sàn	150000	Xăng	4	Đã sử dụng	Nhập khẩu	2010	250000000.0	Cerato	Kia
12744	Bán tải / Pickup	Tự động	240000	Dầu	5	Đã sử dụng	Nhập khẩu	2010	339000000.0	Triton	Mitsubishi
20109	SUV / Cross over	Tự động	1	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2014	425000000.0	Innova	Toyota
5288	Hatchback	Số sàn	260000	Xăng	5	Đã sử dụng	Nhập khẩu	2009	128000000.0	Getz	Hyundai
39905	SUV / Cross over	Số sàn	200000	Xăng	7	Đã sử dụng	Nhập khẩu	1994	165000000.0	LandCruiser	Toyota
1060	SUV / Cross over	Tự động	0	Xăng	4	Mới	Nhập khẩu	2021	9950000000.0	LX	Lexus
2405	SUV / Cross over	Tự động	0	Xăng	5	Mới	Lắp ráp trong nước	2021	829000000.0	Tucson	Hyundai
38267	SUV / Cross over	Số sàn	123	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2005	160000000.0	Everest	Ford
3776	Sedan	Số sàn	160000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	255000000.0	Vios	Toyota
8021	Sedan	Tự động	100000	Xăng	5	Đã sử dụng	Nhập khẩu	2017	656000000.0	Civic	Honda
10107	Sedan	Tự động	11000000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	380000000.0	Accent	Hyundai
1629	Truck	Số sàn	340000	Dầu	3	Đã sử dụng	Nhập khẩu	2005	173000000.0	Porter	Hyundai
13408	Sedan	Tự động	240000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2010	490000000.0	Camry	Toyota
13016	Hatchback	Tự động	140000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	215000000.0	Spark	Chevrolet
1314	Sedan	Số sàn	100000	Xăng	5	Đã sử dụng	Nhập khẩu	1991	70000000.0	Accord	Honda
26930	Sedan	Số sàn	204000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	235000000.0	Cruze	Chevrolet
2029	Van/Minivan	Số sàn	120000	Dầu	29	Đã sử dụng	Lắp ráp trong nước	2015	765000000.0	County	Hyundai
23628	Sedan	Tự động	50	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	4599000000.0	Sclass	Mercedes Benz
31540	Sedan	Số sàn	5000	Xăng	5	Đã sử dụng	Nhập khẩu	1987	48000000.0	Cressida	Toyota
38447	SUV / Cross over	Số sàn	156000	Xăng	8	Đã sử dụng	Nhập khẩu	2007	265000000.0	Innova	Toyota
24356	SUV / Cross over	Số sàn	139068	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2005	195000000.0	Zace	Toyota
31752	Sedan	Tự động	34000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	650000000.0	CorollaAltis	Toyota
16485	Truck	Số sàn	0	Xăng	2	Mới	Nhập khẩu	2021	276000000.0	Carry	Suzuki
40352	Sedan	Số sàn	10	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2010	275000000.0	Vios	Toyota
30951	SUV / Cross over	Tự động	15000	Dầu	7	Đã sử dụng	Lắp ráp trong nước	2019	988000000.0	Fortuner	Toyota
25970	Sedan	Tự động	1000	Xăng	5	Đã sử dụng	Nhập khẩu	2021	6200000000.0	A8	Audi
28463	Sedan	Tự động	19000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	679000000.0	Elantra	Hyundai
28821	SUV / Cross over	Số sàn	50000	Dầu	7	Đã sử dụng	Lắp ráp trong nước	2017	755000000.0	Fortuner	Toyota
30058	Van/Minivan	Tự động	30000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	570000000.0	Xpander	Mitsubishi
18907	Sedan	Số sàn	50000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	285000000.0	RIO	Kia
18602	SUV / Cross over	Tự động	120000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2016	550000000.0	Rondo	Kia
6298	Van/Minivan	Tự động	120000	Xăng	2	Đã sử dụng	Nhập khẩu	2016	255000000.0	Morning	Kia
36768	Van/Minivan	Tự động	50000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2016	429000000.0	Rondo	Kia
8115	Bán tải / Pickup	Tự động	76236	Dầu	5	Đã sử dụng	Nhập khẩu	2019	545000000.0	Navara	Nissan
11777	Sedan	Tự động	35000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	1258000000.0	Cclass	Mercedes Benz
16708	SUV / Cross over	Tự động	45000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	1790000000.0	GLCclass	Mercedes Benz
5701	Sedan	Tự động	90000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	640000000.0	Camry	Toyota
27279	Sedan	Tự động	17000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	2650000000.0	Eclass	Mercedes Benz
6349	Sedan	Số sàn	220000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2011	234000000.0	Cruze	Chevrolet
7915	SUV / Cross over	Tự động	46000	Xăng	4	Đã sử dụng	Nhập khẩu	2014	3888000000.0	RangeRover	LandRover
35969	Van/Minivan	Số sàn	55000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2019	580000000.0	Innova	Toyota
37300	SUV / Cross over	Tự động	6800	Dầu	5	Đã sử dụng	Nhập khẩu	2021	675000000.0	Ranger	Ford
10717	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	438000000.0	Focus	Ford
1065	SUV / Cross over	Tự động	50000	Xăng	5	Đã sử dụng	Nhập khẩu	2014	2390000000.0	Cayenne	Porsche
5231	Sedan	Số sàn	260000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2009	205000000.0	Vios	Toyota
11990	Sedan	Số sàn	280000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2008	288000000.0	Civic	Honda
10475	SUV / Cross over	Tự động	8300	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2020	979000000.0	CRV	Honda
14299	Sedan	Tự động	8000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2021	1790000000.0	Eclass	Mercedes Benz
24736	SUV / Cross over	Tự động	20000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	875000000.0	Tucson	Hyundai
39368	Sedan	Số sàn	810000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	281000000.0	Vios	Toyota
8083	SUV / Cross over	Số sàn	160000	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2014	638000000.0	Fortuner	Toyota
8093	Van/Minivan	Số sàn	130000	Dầu	9	Đã sử dụng	Nhập khẩu	2015	540000000.0	Starex	Hyundai
745	Sedan	Tự động	20000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	789000000.0	Optima	Kia
16532	SUV / Cross over	Số sàn	68000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2016	348000000.0	Innova	Toyota
32250	Van/Minivan	Số sàn	50000	Dầu	7	Đã sử dụng	Lắp ráp trong nước	2008	165000000.0	Sprinter	Mercedes Benz
31195	Sedan	Bán tự động	40000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	430000000.0	Vios	Toyota
26149	Hatchback	Số sàn	183	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	179000000.0	Morning	Kia
38518	Van/Minivan	Tự động	100000	Dầu	7	Đã sử dụng	Nhập khẩu	2017	760000000.0	Sedona	Kia
36658	Sedan	Số sàn	1234	Xăng	7	Đã sử dụng	Nhập khẩu	2003	108000000.0	Jolie	Mitsubishi
13951	SUV / Cross over	Tự động	0	Dầu	7	Mới	Nhập khẩu	2021	1081000000.0	Everest	Ford
1854	SUV / Cross over	Tự động	0	Xăng	7	Mới	Nhập khẩu	2021	507000000.0	Ertiga	Suzuki
9946	Hatchback	Số sàn	60000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	260000000.0	Wigo	Toyota
14323	Sedan	Số sàn	13800	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2003	118000000.0	Laser	Ford
21110	SUV / Cross over	Tự động	0	Xăng	4	Mới	Nhập khẩu	2019	12000000000.0	RangeRover	LandRover
12338	SUV / Cross over	Tự động	30000	Xăng	5	Đã sử dụng	Nhập khẩu	2017	2850000000.0	Macan	Porsche
20883	SUV / Cross over	Tự động	0	Dầu	7	Mới	Lắp ráp trong nước	2021	1434000000.0	Fortuner	Toyota
19490	SUV / Cross over	Tự động	90000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2010	435000000.0	Fortuner	Toyota
3420	Hatchback	Số sàn	140000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	220000000.0	I10	Hyundai
11022	Sedan	Tự động	220000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	345000000.0	Teana	Nissan
434	Sedan	Tự động	0	Xăng	5	Mới	Lắp ráp trong nước	2021	581000000.0	Vios	Toyota
18680	Sedan	Tự động	200000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2004	300000000.0	Eclass	Mercedes Benz
9205	Sedan	Tự động	200000	Xăng	5	Đã sử dụng	Nhập khẩu	2012	420000000.0	Accord	Honda
20746	SUV / Cross over	Tự động	46000	Xăng	7	Đã sử dụng	Nhập khẩu	2018	505000000.0	Xpander	Mitsubishi
33213	Sedan	Số sàn	200000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	335000000.0	Vios	Toyota
20253	SUV / Cross over	Tự động	120000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	810000000.0	GLAclass	Mercedes Benz
6562	SUV / Cross over	Số sàn	400000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2002	92000000.0	Jolie	Mitsubishi
37794	Sedan	Số sàn	588855	Xăng	5	Đã sử dụng	Nhập khẩu	2003	56000000.0	Lanos	Daewoo
36487	Sedan	Tự động	75000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2007	485000000.0	Sienna	Toyota
1856	Truck	Số sàn	0	Dầu	3	Mới	Lắp ráp trong nước	2020	369000000.0	Ollin	Thaco
19774	Sedan	Tự động	20000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	710000000.0	6	Mazda
23798	Truck	Số sàn	120000	Dầu	3	Đã sử dụng	Lắp ráp trong nước	2016	580000000.0	HD	Hyundai
28833	Sedan	Tự động	94000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	550000000.0	Focus	Ford
30419	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	329000000.0	Grandi10	Hyundai
30595	SUV / Cross over	Tự động	70000	Xăng	5	Đã sử dụng	Nhập khẩu	2007	350000000.0	Escape	Ford
34220	Sedan	Số sàn	55000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	526000000.0	CorollaAltis	Toyota
4608	SUV / Cross over	Tự động	10000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	2999000000.0	FPace	Jaguar
17060	Hatchback	Tự động	220000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	330000000.0	Yaris	Toyota
1085	Van/Minivan	Số sàn	128061	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2018	450000000.0	Transit	Ford
37888	Sedan	Tự động	100	Xăng	5	Đã sử dụng	Nhập khẩu	2008	475000000.0	300C	Chrysler
10879	Sedan	Tự động	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	455000000.0	Accent	Hyundai
14275	SUV / Cross over	Tự động	30000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	748000000.0	CX5	Mazda
27058	Hatchback	Tự động	5000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	380000000.0	Fadil	VinFast
4474	Sedan	Tự động	31786	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	535000000.0	Elantra	Hyundai
39902	SUV / Cross over	Bán tự động	85	Xăng	7	Đã sử dụng	Nhập khẩu	2016	3150000000.0	GLSclass	Mercedes Benz
35277	Sedan	Bán tự động	50000	Xăng	5	Đã sử dụng	Nhập khẩu	2010	865000000.0	IS	Lexus
2384	SUV / Cross over	Tự động	20000	Xăng	5	Đã sử dụng	Nhập khẩu	2021	5215000000.0	RangeRoverVelar	LandRover
3096	Bán tải / Pickup	Số sàn	80000	Dầu	5	Đã sử dụng	Nhập khẩu	2014	415000000.0	BT50	Mazda
609	Coupe	Tự động	50000	Xăng	4	Đã sử dụng	Nhập khẩu	2014	15500000000.0	Wraith	Rolls Royce
20854	SUV / Cross over	Tự động	0	Xăng	7	Mới	Nhập khẩu	2021	504000000.0	Ertiga	Suzuki
21474	SUV / Cross over	Tự động	40000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	1580000000.0	GLCclass	Mercedes Benz
19088	SUV / Cross over	Số sàn	80000	Dầu	8	Đã sử dụng	Nhập khẩu	2018	868000000.0	Fortuner	Toyota
18182	SUV / Cross over	Tự động	84000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	620000000.0	CRV	Honda
4425	Sedan	Số sàn	40000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	488000000.0	Vios	Toyota
38291	Van/Minivan	Số sàn	80000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2016	376000000.0	Innova	Toyota
24470	SUV / Cross over	Tự động	0	Xăng	5	Mới	Nhập khẩu	2021	5348000000.0	GLEclass	Mercedes Benz
33866	SUV / Cross over	Tự động	11111	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	585000000.0	Sorento	Kia
4148	Sedan	Số sàn	380000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2003	145000000.0	626	Mazda
2801	Hatchback	Tự động	11168	Xăng	5	Đã sử dụng	Nhập khẩu	2009	195000000.0	Morning	Kia
34542	Hatchback	Tự động	61000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	275000000.0	Morning	Kia
40995	Sedan	Số sàn	53000	Xăng	5	Đã sử dụng	Nhập khẩu	2019	358000000.0	Accent	Hyundai
17072	SUV / Cross over	Tự động	0	Xăng	5	Mới	Lắp ráp trong nước	2021	865000000.0	Tucson	Hyundai
10460	Sedan	Tự động	28000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	515000000.0	Cerato	Kia
5543	Bán tải / Pickup	Số sàn	240000	Dầu	5	Đã sử dụng	Nhập khẩu	2010	303000000.0	Navara	Nissan
15692	SUV / Cross over	Tự động	4500	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2021	2499000000.0	GLCclass	Mercedes Benz
24149	SUV / Cross over	Tự động	82000	Dầu	7	Đã sử dụng	Nhập khẩu	2011	600000000.0	SantaFe	Hyundai
29256	Van/Minivan	Số sàn	62000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2019	545000000.0	Innova	Toyota
19468	Sedan	Tự động	30	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	488000000.0	Accent	Hyundai
22779	SUV / Cross over	Tự động	75000	Xăng	8	Đã sử dụng	Nhập khẩu	2017	799000000.0	Fortuner	Toyota
14812	SUV / Cross over	Tự động	10000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2021	1040000000.0	LUX	VinFast
28749	Sedan	Số sàn	1000000	Xăng	5	Đã sử dụng	Nhập khẩu	2004	139000000.0	Magnus	Daewoo
37942	Sedan	Số sàn	123456	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2000	145000000.0	Corolla	Toyota
10224	Hatchback	Số sàn	280000	Xăng	5	Đã sử dụng	Nhập khẩu	2008	115000000.0	Morning	Kia
19799	Hatchback	Số sàn	93000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2009	130000000.0	Spark	Chevrolet
36662	Hatchback	Tự động	26520	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	348000000.0	Morning	Kia
25074	Sedan	Tự động	18000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	1670000000.0	Cclass	Mercedes Benz
17392	SUV / Cross over	Tự động	0	Xăng	7	Mới	Nhập khẩu	2021	6150000000.0	GLSclass	Mercedes Benz
8478	SUV / Cross over	Tự động	35000	Xăng	7	Đã sử dụng	Nhập khẩu	2019	460000000.0	Ertiga	Suzuki
1987	Bán tải / Pickup	Tự động	15000	Dầu	5	Đã sử dụng	Nhập khẩu	2018	499000000.0	Navara	Nissan
24130	SUV / Cross over	Tự động	2500	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2021	2449000000.0	GLCclass	Mercedes Benz
19895	Sedan	Tự động	120000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	790000000.0	Camry	Toyota
5343	Sedan	Tự động	0	Xăng	5	Mới	Lắp ráp trong nước	2021	677000000.0	Elantra	Hyundai
19412	Van/Minivan	Số sàn	85000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2017	410000000.0	Transit	Ford
19523	SUV / Cross over	Tự động	13000	Xăng	5	Đã sử dụng	Nhập khẩu	2007	380000000.0	CRV	Honda
39634	SUV / Cross over	Số sàn	86000	Dầu	7	Đã sử dụng	Lắp ráp trong nước	2014	590000000.0	Fortuner	Toyota
30324	SUV / Cross over	Số sàn	123	Xăng	8	Đã sử dụng	Nhập khẩu	2005	120000000.0	Jolie	Mitsubishi
12108	Sedan	Tự động	40000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	668000000.0	3	Mazda
3292	SUV / Cross over	Tự động	150000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2003	200000000.0	Premacy	Mazda
30551	Sedan	Số sàn	98417	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	390000000.0	Vios	Toyota
31619	Van/Minivan	Số sàn	304000	Dầu	6	Đã sử dụng	Nhập khẩu	2006	235000000.0	Hiace	Toyota
39112	Sedan	Tự động	38000	Xăng	5	Đã sử dụng	Nhập khẩu	2019	1120000000.0	Camry	Toyota
35853	Hatchback	Tự động	81000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	268000000.0	Morning	Kia
20593	Sedan	Tự động	40000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	1060000000.0	Cclass	Mercedes Benz
30659	Hatchback	Tự động	3000	Xăng	2	Đã sử dụng	Nhập khẩu	2013	216000000.0	Morning	Kia
8702	Sedan	Số sàn	460000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	1999	85000000.0	Laser	Ford
7253	Sedan	Tự động	20000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	585000000.0	3	Mazda
31456	Sedan	Tự động	100	Xăng	5	Đã sử dụng	Nhập khẩu	2004	185000000.0	Lancer	Mitsubishi
10021	SUV / Cross over	Tự động	0	Dầu	7	Mới	Nhập khẩu	2021	1015000000.0	Everest	Ford
34568	Van/Minivan	Số sàn	21113	Xăng	7	Đã sử dụng	Nhập khẩu	2000	85000000.0	Citivan	Daihatsu
10978	Sedan	Số sàn	240000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2010	115000000.0	Gentra	Daewoo
5757	Sedan	Tự động	53000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	550000000.0	6	Mazda
40156	SUV / Cross over	Tự động	123456	Xăng	6	Đã sử dụng	Nhập khẩu	2005	350000000.0	Rclass	Mercedes Benz
33387	Sedan	Tự động	30000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	450000000.0	Accent	Hyundai
14219	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Nhập khẩu	2019	1830000000.0	5	BMW
13053	Truck	Số sàn	120000	Dầu	3	Đã sử dụng	Lắp ráp trong nước	2016	360000000.0	Forland	Thaco
